PoS-word	#labels	#instances	most common label	#	label	#	label	#	label	#	label	#	label	#	label	#	label	#	label	#	label	#	label	#
NN-tour	1	1	event	1																				
NN-launch	1	1	event	1																				
NNS-openings	1	1	event	1																				
NN-followup	1	1	event	1																				
NN-adventure	1	1	event	1																				
NN-outing	1	1	event	1																				
NN-auction	1	1	event	1																				
NNS-stays	1	1	event	1																				
NN-suicide	1	1	event	1																				
NNP-lftd	1	1	event	1																				
NNS-attacks	1	1	event	1																				
NNS-funerals	1	1	event	1																				
NN-close	1	1	event	1																				
NNS-holidays	1	1	event	1																				
NN-encounter	1	1	event	1																				
NNP-valentine	1	1	event	1																				
NN-flea	1	1	event	1																				
NNS-injuries	1	1	event	1																				
NNP-walk	1	1	event	1																				
VBD-bruised	1	1	emotion	1																				
VBD-fell	1	1	emotion	1																				
VB-suck	1	1	emotion	1																				
VBD-regreted	1	1	emotion	1																				
VBZ-likes	1	1	emotion	1																				
VB-pressure	1	1	emotion	1																				
VBP-<3	1	1	emotion	1																				
VBD-cared	1	1	emotion	1																				
VB-fear	1	1	emotion	1																				
NN-jaw	1	1	emotion	1																				
VBZ-hates	1	1	emotion	1																				
VBP-relax	1	1	emotion	1																				
VBZ-enjoys	1	1	emotion	1																				
VBN-stressed	1	1	emotion	1																				
VBD-hoped	1	1	emotion	1																				
VBN-loved	1	1	emotion	1																				
VBD-scared	1	1	emotion	1																				
VB-cope	1	1	emotion	1																				
VBN-saddened	1	1	emotion	1																				
VB-impress	1	1	emotion	1																				
VBN-enjoyed	1	1	emotion	1																				
VBN-pre-made	1	1	creation	1																				
VBD-invented	1	1	creation	1																				
VBP-bake	1	1	creation	1																				
VBN-started	1	1	creation	1																				
VBN-seared	1	1	creation	1																				
VBP-generate	1	1	creation	1																				
VBN-baked	1	1	creation	1																				
VBN-embroidered	1	1	creation	1																				
VBN-composed	1	1	creation	1																				
VBD-created	1	1	creation	1																				
VBG-creating	1	1	creation	1																				
VBZ-grills	1	1	creation	1																				
VB-capture	1	1	creation	1																				
VB-design	1	1	creation	1																				
VBG-recreating	1	1	creation	1																				
NN-master	1	1	creation	1																				
VB-insert	1	1	contact	1																				
VBD-attached	1	1	contact	1																				
VBG-grabbing	1	1	contact	1																				
VB-dig	1	1	contact	1																				
VB-open	1	1	contact	1																				
VBN-sprayed	1	1	contact	1																				
VBD-slit	1	1	contact	1																				
VB-lean	1	1	contact	1																				
VBD-slapped	1	1	contact	1																				
VB-kiss	1	1	contact	1																				
VBP-sandwich	1	1	contact	1																				
VBD-sprayed	1	1	contact	1																				
VBD-tripped	1	1	contact	1																				
VB-climb	1	1	contact	1																				
VBG-wrapping	1	1	contact	1																				
VB-touch	1	1	contact	1																				
VBD-rigged	1	1	contact	1																				
VB-press	1	1	contact	1																				
VBD-kissed	1	1	contact	1																				
VBD-flipped	1	1	contact	1																				
VBP-toss	1	1	contact	1																				
VBG-eatting	1	1	consumption	1																				
VBN-wasted	1	1	consumption	1																				
VB-nibble	1	1	consumption	1																				
VBG-grazing	1	1	consumption	1																				
VB-had	1	1	consumption	1																				
VBP-eat	1	1	consumption	1																				
VBP-drink	1	1	consumption	1																				
VBD-filled	1	1	consumption	1																				
VB-feed	1	1	consumption	1																				
VB-trash	1	1	consumption	1																				
VBN-ate	1	1	consumption	1																				
VBG-licking	1	1	consumption	1																				
VBG-pricing	1	1	competition	1																				
VBG-beating	1	1	competition	1																				
VB-conquer	1	1	competition	1																				
VBG-winning	1	1	competition	1																				
VBD-surpassed	1	1	competition	1																				
VB-agree	1	1	communication	1																				
NN-*ss	1	1	communication	1																				
NNS-emails	1	1	communication	1																				
NNS-policies	1	1	communication	1																				
VBP-claim	1	1	communication	1																				
JJ-white	1	1	communication	1																				
NN-show	1	1	communication	1																				
VBG-spreading	1	1	communication	1																				
NN-schedule	1	1	communication	1																				
VB-share	1	1	communication	1																				
VBD-alerted	1	1	communication	1																				
VBP-convince	1	1	communication	1																				
VBP-request	1	1	communication	1																				
VBG-insulting	1	1	communication	1																				
VBD-assured	1	1	communication	1																				
VBG-negotiating	1	1	communication	1																				
NNS-thumbs	1	1	communication	1																				
VBP-agree	1	1	communication	1																				
VB-lodge	1	1	communication	1																				
VB-misinform	1	1	communication	1																				
VBG-aswering	1	1	communication	1																				
VBG-kidding	1	1	communication	1																				
NN-barcoding	1	1	communication	1																				
NN-rosette	1	1	communication	1																				
NNP-telugu	1	1	communication	1																				
NN-note	1	1	communication	1																				
NN-sr	1	1	communication	1																				
NNS-initials	1	1	communication	1																				
VBD-referred	1	1	communication	1																				
VBG-interrupting	1	1	communication	1																				
ADD-http://www.consumerreports.org/health/healthy-living/beauty-personal-care/hair-loss-10-08/hair-loss.htm	1	1	communication	1																				
NNS-applications	1	1	communication	1																				
VBN-assumed	1	1	communication	1																				
VBG-admitting	1	1	communication	1																				
VBN-listened	1	1	communication	1																				
VBN-emailed	1	1	communication	1																				
VBD-itemized	1	1	communication	1																				
VBP-rang	1	1	communication	1																				
NNS-languages	1	1	communication	1																				
NNS-plays	1	1	communication	1																				
NNP-balazick	1	1	communication	1																				
VBP-read	1	1	communication	1																				
VB-voice	1	1	communication	1																				
VBG-arguing	1	1	communication	1																				
VBN-implied	1	1	communication	1																				
VB-brief	1	1	communication	1																				
VBP-demand	1	1	communication	1																				
ADD-http://en.wikipedia.org/wiki/bullfighting	1	1	communication	1																				
NNS-facts	1	1	communication	1																				
NN-misinformation	1	1	communication	1																				
VB-reccomend	1	1	communication	1																				
VBD-reminded	1	1	communication	1																				
VB-assure	1	1	communication	1																				
VBD-reffered	1	1	communication	1																				
VBN-pictured	1	1	communication	1																				
NNS-connections	1	1	communication	1																				
NN-page	1	1	communication	1																				
NNP-seinfeld	1	1	communication	1																				
NN-material	1	1	communication	1																				
NN-movie	1	1	communication	1																				
VBG-laughing	1	1	communication	1																				
NNP-italiano	1	1	communication	1																				
VBZ-states	1	1	communication	1																				
NNS-invitations	1	1	communication	1																				
ADD-recwarehouse.com	1	1	communication	1																				
NN-scheduled	1	1	communication	1																				
VBD-denied	1	1	communication	1																				
VB-recoment	1	1	communication	1																				
VBD-encouraged	1	1	communication	1																				
VBZ-calls	1	1	communication	1																				
VB-reflect	1	1	communication	1																				
NNS-suggestions	1	1	communication	1																				
NNS-apologies	1	1	communication	1																				
NN-listing	1	1	communication	1																				
VB-complain	1	1	communication	1																				
VBD-insulted	1	1	communication	1																				
NNS-overstatements	1	1	communication	1																				
VBD-printed	1	1	communication	1																				
NNP-michelin	1	1	communication	1																				
NN-give	1	1	communication	1																				
JJ-wonderful	1	1	communication	1																				
NNS-labels	1	1	communication	1																				
NN-warning	1	1	communication	1																				
NN-language	1	1	communication	1																				
VBP-comment	1	1	communication	1																				
VBD-replied	1	1	communication	1																				
VBN-reserved	1	1	communication	1																				
VBD-disagreed	1	1	communication	1																				
VB-mention	1	1	communication	1																				
VB-rub	1	1	communication	1																				
NN-arrangement	1	1	communication	1																				
NN-confirmation	1	1	communication	1																				
NNS-answers	1	1	communication	1																				
VBD-greeted	1	1	communication	1																				
NN-bodytalk	1	1	communication	1																				
CD-two	1	1	communication	1																				
NN-e-mail	1	1	communication	1																				
NN-section	1	1	communication	1																				
VBZ-hears	1	1	communication	1																				
VBP-admit	1	1	communication	1																				
VBN-rcommended	1	1	communication	1																				
VBN-suggested	1	1	communication	1																				
VBZ-answers	1	1	communication	1																				
VBN-agreed	1	1	communication	1																				
NN-laughter	1	1	communication	1																				
VBP-orderd	1	1	communication	1																				
VBG-reporting	1	1	communication	1																				
VBG-ordering	1	1	communication	1																				
NNP-sushi	1	1	communication	1																				
NNS-previews	1	1	communication	1																				
VBD-yelled	1	1	communication	1																				
NN-advise	1	1	communication	1																				
NN-b2b	1	1	communication	1																				
VB-prescribe	1	1	communication	1																				
NN-greeting	1	1	communication	1																				
VBD-answetred	1	1	communication	1																				
ADD-www.norcalfightingalliance.com	1	1	communication	1																				
NNS-stories	1	1	communication	1																				
VBD-congratulated	1	1	communication	1																				
VBD-promised	1	1	communication	1																				
VBD-approached	1	1	communication	1																				
NNS-games	1	1	communication	1																				
NNP-pennysaver	1	1	communication	1																				
VBD-rated	1	1	communication	1																				
VB-guess	1	1	communication	1																				
VBN-printed	1	1	communication	1																				
VBG-advising	1	1	communication	1																				
VBN-communicated	1	1	communication	1																				
NNS-videos	1	1	communication	1																				
NN-com	1	1	communication	1																				
VBD-confirmed	1	1	communication	1																				
VB-decline	1	1	communication	1																				
VBG-claiming	1	1	communication	1																				
VBP-schedule	1	1	communication	1																				
NNS-claims	1	1	communication	1																				
NN-downloading	1	1	communication	1																				
NN-vote	1	1	communication	1																				
NN-resume	1	1	communication	1																				
NN-complaint	1	1	communication	1																				
VB-shut	1	1	communication	1																				
NN-yelling	1	1	communication	1																				
VB-join	1	1	communication	1																				
NNS-accounts	1	1	communication	1																				
VBN-stated	1	1	communication	1																				
VB-sum	1	1	communication	1																				
VBN-forwarded	1	1	communication	1																				
VBN-signed	1	1	communication	1																				
NN-sentence	1	1	communication	1																				
VB-chat	1	1	communication	1																				
VB-apologize	1	1	communication	1																				
NNS-portals	1	1	communication	1																				
VB-place	1	1	communication	1																				
VB-attest	1	1	communication	1																				
NNP-facebook	1	1	communication	1																				
ADD-www.designofashion.com	1	1	communication	1																				
VBN-advertised	1	1	communication	1																				
VBD-accused	1	1	communication	1																				
NN-slang	1	1	communication	1																				
CD-ten	1	1	communication	1																				
NNP-www	1	1	communication	1																				
VBD-suggested	1	1	communication	1																				
NN-excuse	1	1	communication	1																				
JJ-rave	1	1	communication	1																				
VBD-questioned	1	1	communication	1																				
NNS-ads	1	1	communication	1																				
VBN-explained	1	1	communication	1																				
VB-pester	1	1	communication	1																				
VBZ-talks	1	1	communication	1																				
VBD-laughed	1	1	communication	1																				
VBD-lied	1	1	communication	1																				
NN-license	1	1	communication	1																				
VB-follow	1	1	communication	1																				
VBD-aswered	1	1	communication	1																				
NN-news	1	1	communication	1																				
VB-ring	1	1	communication	1																				
VB-rave	1	1	communication	1																				
NNS-responses	1	1	communication	1																				
VB-comment	1	1	communication	1																				
VBG-declaring	1	1	communication	1																				
VB-confirm	1	1	communication	1																				
VBG-pointing	1	1	communication	1																				
NN-summary	1	1	communication	1																				
VBP-mention	1	1	communication	1																				
VBP-response	1	1	communication	1																				
NN-letter	1	1	communication	1																				
VBN-talked	1	1	communication	1																				
VBD-mentioned	1	1	communication	1																				
NN-satellite	1	1	communication	1																				
VBD-described	1	1	communication	1																				
NNS-lists	1	1	communication	1																				
VBP-check	1	1	communication	1																				
MD-could	1	1	communication	1																				
NNS-certificates	1	1	communication	1																				
VBG-hosting	1	1	communication	1																				
VBZ-asks	1	1	communication	1																				
NN-score	1	1	communication	1																				
NNP-kkk	1	1	communication	1																				
VBN-complimented	1	1	communication	1																				
NNS-referrals	1	1	communication	1																				
NN-word	1	1	communication	1																				
VB-promise	1	1	communication	1																				
VB-encourage	1	1	communication	1																				
NNS-regulations	1	1	communication	1																				
NN-media	1	1	communication	1																				
NNS-markings	1	1	communication	1																				
VBP-recomend	1	1	communication	1																				
VBG-informing	1	1	communication	1																				
NNS-directions	1	1	communication	1																				
NN-landline	1	1	communication	1																				
VBN-recomended	1	1	communication	1																				
NN-fuss	1	1	communication	1																				
NNS-sites	1	1	communication	1																				
VBG-referring	1	1	communication	1																				
VBD-argued	1	1	communication	1																				
VB-greet	1	1	communication	1																				
VB-talked	1	1	communication	1																				
CD-800	1	1	communication	1																				
NN-cussing	1	1	communication	1																				
NN-award	1	1	communication	1																				
NN-staple	1	1	communication	1																				
VBN-refused	1	1	communication	1																				
VBN-yelped	1	1	communication	1																				
VB-list	1	1	communication	1																				
NN-negotiation	1	1	communication	1																				
NNS-barcodes	1	1	communication	1																				
VBN-requested	1	1	communication	1																				
ADD-www.veraakulov.com	1	1	communication	1																				
NN-reiew	1	1	communication	1																				
NNS-orginals	1	1	communication	1																				
VBD-appologized	1	1	communication	1																				
VB-name	1	1	communication	1																				
NNS-queries	1	1	communication	1																				
VBN-responded	1	1	communication	1																				
VBZ-recommends	1	1	communication	1																				
VBG-recommending	1	1	communication	1																				
VBP-urge	1	1	communication	1																				
NNS-references	1	1	communication	1																				
JJ-many	1	1	communication	1																				
NNS-exceptions	1	1	cognition	1																				
NN-con	1	1	cognition	1																				
NNS-findings	1	1	cognition	1																				
NNP-mom	1	1	cognition	1																				
VBZ-boasts	1	1	cognition	1																				
NN-decision	1	1	cognition	1																				
VB-prepare	1	1	cognition	1																				
NNS-rights	1	1	cognition	1																				
NNS-choices	1	1	cognition	1																				
NN-intimacy	1	1	cognition	1																				
VB-sort	1	1	cognition	1																				
NN-premise	1	1	cognition	1																				
JJ-tight	1	1	cognition	1																				
VBZ-exceeds	1	1	cognition	1																				
NN-mystery	1	1	cognition	1																				
NN-input	1	1	cognition	1																				
VB-compose	1	1	cognition	1																				
VBG-evaluating	1	1	cognition	1																				
NN-accounting	1	1	cognition	1																				
VB-stumble	1	1	cognition	1																				
VBP-imagine	1	1	cognition	1																				
VBZ-values	1	1	cognition	1																				
VBN-tested	1	1	cognition	1																				
NN-challenge	1	1	cognition	1																				
NN-bliss	1	1	cognition	1																				
NN-science	1	1	cognition	1																				
NNS-ways	1	1	cognition	1																				
NN-smoker	1	1	cognition	1																				
VBP-research	1	1	cognition	1																				
VB-solve	1	1	cognition	1																				
VB-research	1	1	cognition	1																				
VBN-diagnosed	1	1	cognition	1																				
NNS-systems	1	1	cognition	1																				
NN-witness	1	1	cognition	1																				
VBN-ignored	1	1	cognition	1																				
NN-mixture	1	1	cognition	1																				
NN-ada	1	1	cognition	1																				
VBG-achieving	1	1	cognition	1																				
NN-rule	1	1	cognition	1																				
VBN-required	1	1	cognition	1																				
VBD-imagined	1	1	cognition	1																				
VBD-inspected	1	1	cognition	1																				
VB-study	1	1	cognition	1																				
NNS-standards	1	1	cognition	1																				
NNS-ranges	1	1	cognition	1																				
NNS-matters	1	1	cognition	1																				
NN-hype	1	1	cognition	1																				
VBZ-trains	1	1	cognition	1																				
VBD-allowed	1	1	cognition	1																				
NN-interaction	1	1	cognition	1																				
NN-apprehension	1	1	cognition	1																				
IN-across	1	1	cognition	1																				
NN-healthcare	1	1	cognition	1																				
VBD-lost	1	1	cognition	1																				
NN-expertise	1	1	cognition	1																				
VBN-admitted	1	1	cognition	1																				
NN-form	1	1	cognition	1																				
NN-lovin'	1	1	cognition	1																				
NN-down	1	1	cognition	1																				
NN-grammar	1	1	cognition	1																				
VBD-realized	1	1	cognition	1																				
NN-mush	1	1	cognition	1																				
NN-difference	1	1	cognition	1																				
NNS-pitfalls	1	1	cognition	1																				
VBP-count	1	1	cognition	1																				
NNS-grades	1	1	cognition	1																				
VBN-thought	1	1	cognition	1																				
NNS-solutions	1	1	cognition	1																				
NN-association	1	1	cognition	1																				
NN-opportunity	1	1	cognition	1																				
NN-smirk	1	1	cognition	1																				
VB-forgive	1	1	cognition	1																				
NN-catagory	1	1	cognition	1																				
NN-boutique	1	1	cognition	1																				
NN-blue	1	1	cognition	1																				
NN-focus	1	1	cognition	1																				
VBP-crave	1	1	cognition	1																				
NNS-trends	1	1	cognition	1																				
VBN-noticed	1	1	cognition	1																				
VBG-forgetting	1	1	cognition	1																				
NNS-pockets	1	1	cognition	1																				
JJ-healthy	1	1	cognition	1																				
NN-option	1	1	cognition	1																				
NNS-thoughts	1	1	cognition	1																				
VBP-knew	1	1	cognition	1																				
NN-standpoint	1	1	cognition	1																				
NNS-cons	1	1	cognition	1																				
NN-clue	1	1	cognition	1																				
NN-requirement	1	1	cognition	1																				
VBZ-suspects	1	1	cognition	1																				
VBN-realized	1	1	cognition	1																				
VB-score	1	1	cognition	1																				
NN-promise	1	1	cognition	1																				
NNS-levels	1	1	cognition	1																				
NN-joy	1	1	cognition	1																				
VBD-figured	1	1	cognition	1																				
VBD-played	1	1	cognition	1																				
NN-cookie	1	1	cognition	1																				
VBN-waited	1	1	cognition	1																				
NN-negative	1	1	cognition	1																				
GW-down	1	1	cognition	1																				
NN-phantom	1	1	cognition	1																				
NN-source	1	1	cognition	1																				
AFX-infra	1	1	cognition	1																				
VBD-tracked	1	1	cognition	1																				
NN-niche	1	1	cognition	1																				
NN-database	1	1	cognition	1																				
VBG-addressing	1	1	cognition	1																				
NN-favor	1	1	cognition	1																				
NN-prevention	1	1	cognition	1																				
NNS-hurdles	1	1	cognition	1																				
VBP-dare	1	1	cognition	1																				
NNS-layers	1	1	cognition	1																				
NN-smorgasbord	1	1	cognition	1																				
VBN-guessed	1	1	cognition	1																				
NNS-sorts	1	1	cognition	1																				
NNS-roots	1	1	cognition	1																				
VBG-searching	1	1	cognition	1																				
VBD-thouhgt	1	1	cognition	1																				
VBD-attempted	1	1	cognition	1																				
NN-pretense	1	1	cognition	1																				
NN-flow	1	1	cognition	1																				
NN-sitcom	1	1	cognition	1																				
NN-scale	1	1	cognition	1																				
VBD-meant	1	1	cognition	1																				
VBN-sorted	1	1	cognition	1																				
VB-confuse	1	1	cognition	1																				
NN-treasure	1	1	cognition	1																				
VBP-solve	1	1	cognition	1																				
NN-chance	1	1	cognition	1																				
VBD-pointed	1	1	cognition	1																				
VBP-plan	1	1	cognition	1																				
NN-landmark	1	1	cognition	1																				
VBG-experiencing	1	1	cognition	1																				
NN-flair	1	1	cognition	1																				
GW-for	1	1	cognition	1																				
VB-endevour	1	1	cognition	1																				
VBP-beg	1	1	cognition	1																				
NN-respect	1	1	cognition	1																				
NNS-hopes	1	1	cognition	1																				
NNS-mysterys	1	1	cognition	1																				
NN-dip	1	1	cognition	1																				
VB-hassle	1	1	cognition	1																				
VBP-spoil	1	1	cognition	1																				
NN-competition	1	1	cognition	1																				
NNS-notions	1	1	cognition	1																				
NN-depth	1	1	cognition	1																				
NN-right	1	1	cognition	1																				
VBZ-warrants	1	1	cognition	1																				
NN-core	1	1	cognition	1																				
NNS-dreams	1	1	cognition	1																				
NNS-requirements	1	1	cognition	1																				
JJ-mass	1	1	cognition	1																				
NN-horror	1	1	cognition	1																				
VBG-diagnosing	1	1	cognition	1																				
NN-kindergarten	1	1	cognition	1																				
VBD-dreamed	1	1	cognition	1																				
VBD-set	1	1	cognition	1																				
JJ-new	1	1	cognition	1																				
VBG-intending	1	1	cognition	1																				
RBR-better	1	1	cognition	1																				
NN-mmog	1	1	cognition	1																				
VB-meant	1	1	cognition	1																				
VBD-rushed	1	1	cognition	1																				
VB-consider	1	1	cognition	1																				
NNS-miracles	1	1	cognition	1																				
NN-diversity	1	1	cognition	1																				
VBN-related	1	1	cognition	1																				
NN-angel	1	1	cognition	1																				
NN-understanding	1	1	cognition	1																				
VBD-manged	1	1	cognition	1																				
NN-perfectionist	1	1	cognition	1																				
NN-heebee	1	1	cognition	1																				
NN-cause	1	1	cognition	1																				
JJ-key	1	1	cognition	1																				
VBN-influenced	1	1	cognition	1																				
NNS-memories	1	1	cognition	1																				
NN-approval	1	1	cognition	1																				
NNS-wonders	1	1	cognition	1																				
VBD-learned	1	1	cognition	1																				
NN-palette	1	1	cognition	1																				
VB-judge	1	1	cognition	1																				
NN-outfit	1	1	cognition	1																				
VBN-excepted	1	1	cognition	1																				
NN-duty	1	1	cognition	1																				
NN-misconception	1	1	cognition	1																				
NNS-surprises	1	1	cognition	1																				
NN-fave	1	1	cognition	1																				
VB-amaze	1	1	cognition	1																				
VBN-restored	1	1	cognition	1																				
NNS-timings	1	1	cognition	1																				
NN-politeness	1	1	cognition	1																				
NNP-dd	1	1	cognition	1																				
VBZ-approves	1	1	cognition	1																				
NN-opinon	1	1	cognition	1																				
NN-trap	1	1	cognition	1																				
VB-resource	1	1	cognition	1																				
VBN-defined	1	1	cognition	1																				
VBP-suspect	1	1	cognition	1																				
NNS-jobs	1	1	cognition	1																				
NN-grid	1	1	cognition	1																				
NNS-authorities	1	1	cognition	1																				
NN-creativity	1	1	cognition	1																				
VBG-knowing	1	1	cognition	1																				
VBD-experienced	1	1	cognition	1																				
NN-vision	1	1	cognition	1																				
NN-polite	1	1	cognition	1																				
NNS-details	1	1	cognition	1																				
VBP-stay	1	1	cognition	1																				
VB-crave	1	1	cognition	1																				
NNS-hassles	1	1	cognition	1																				
VBG-assuming	1	1	cognition	1																				
VBN-known	1	1	cognition	1																				
NNS-turns	1	1	cognition	1																				
VBD-demanded	1	1	cognition	1																				
NN-expectation	1	1	cognition	1																				
VBG-threatening	1	1	cognition	1																				
NN-ordeal	1	1	cognition	1																				
VB-fend	1	1	cognition	1																				
VBD-surprised	1	1	cognition	1																				
VBN-associated	1	1	cognition	1																				
NNS-inquires	1	1	cognition	1																				
VBP-cover	1	1	cognition	1																				
VBG-trusting	1	1	cognition	1																				
VBD-followed	1	1	cognition	1																				
NNP-problems	1	1	cognition	1																				
NN-find	1	1	cognition	1																				
NN-chiropractric	1	1	cognition	1																				
VBP-find	1	1	cognition	1																				
NN-mindset	1	1	cognition	1																				
NN-sensitivity	1	1	cognition	1																				
NN-opposite	1	1	cognition	1																				
VBN-anticipated	1	1	cognition	1																				
NN-conclusion	1	1	cognition	1																				
VBD-determined	1	1	cognition	1																				
NNS-forms	1	1	cognition	1																				
NNS-plans	1	1	cognition	1																				
VB-associate	1	1	cognition	1																				
NNS-conditions	1	1	cognition	1																				
NNS-colors	1	1	cognition	1																				
VBP-deserve	1	1	cognition	1																				
NN-drama	1	1	cognition	1																				
NN-risk	1	1	cognition	1																				
VBN-lied	1	1	cognition	1																				
RB-down	1	1	cognition	1																				
NN-miracle	1	1	cognition	1																				
VB-assuage	1	1	cognition	1																				
VBZ-let's	1	1	cognition	1																				
NNP-republican	1	1	cognition	1																				
NNS-values	1	1	cognition	1																				
NN-tool	1	1	cognition	1																				
NN-varietal	1	1	cognition	1																				
NN-gap	1	1	cognition	1																				
NN-shame	1	1	cognition	1																				
JJ-mixed	1	1	cognition	1																				
VBN-confused	1	1	cognition	1																				
VBN-cheated	1	1	cognition	1																				
VB-sound	1	1	cognition	1																				
VBN-effected	1	1	cognition	1																				
NN-culture	1	1	cognition	1																				
NNS-objectives	1	1	cognition	1																				
VBN-baffled	1	1	cognition	1																				
NN-strike	1	1	cognition	1																				
NN-recommendation	1	1	cognition	1																				
NNS-alternatives	1	1	cognition	1																				
VBD-required	1	1	cognition	1																				
VBD-sorted	1	1	cognition	1																				
NNP-nowheresville	1	1	cognition	1																				
VB-no	1	1	cognition	1																				
NN-vintage	1	1	cognition	1																				
VBD-outshone	1	1	cognition	1																				
VBG-requiring	1	1	cognition	1																				
VBG-accomplishing	1	1	cognition	1																				
VB-count	1	1	cognition	1																				
NN-township	1	1	cognition	1																				
VBD-settled	1	1	cognition	1																				
VBP-notice	1	1	cognition	1																				
VBD-recovered	1	1	cognition	1																				
VB-bare	1	1	cognition	1																				
NN-brain	1	1	cognition	1																				
NN-shark	1	1	cognition	1																				
VBP-pride	1	1	cognition	1																				
NNS-picks	1	1	cognition	1																				
NNS-possibilities	1	1	cognition	1																				
NN-artisan	1	1	cognition	1																				
NN-bait	1	1	cognition	1																				
NN-phobia	1	1	cognition	1																				
NNS-skills	1	1	cognition	1																				
VBN-rushed	1	1	cognition	1																				
VBP-specialize	1	1	cognition	1																				
NN-need	1	1	cognition	1																				
NN-beginner	1	1	cognition	1																				
NN-golf	1	1	cognition	1																				
VBG-choosing	1	1	cognition	1																				
VBZ-thinks	1	1	cognition	1																				
MD-would	1	1	cognition	1																				
VBN-assured	1	1	cognition	1																				
VB-misrepresent	1	1	cognition	1																				
NNS-promises	1	1	cognition	1																				
NN-misfortune	1	1	cognition	1																				
NNS-hesitations	1	1	cognition	1																				
NN-runaround	1	1	cognition	1																				
VBG-researching	1	1	cognition	1																				
VB-lose	1	1	cognition	1																				
NNS-staples	1	1	cognition	1																				
NN-weight	1	1	cognition	1																				
NN-reflection	1	1	cognition	1																				
NN-testament	1	1	cognition	1																				
NN-belt	1	1	cognition	1																				
NNS-parameters	1	1	cognition	1																				
VBZ-want	1	1	cognition	1																				
NN-indication	1	1	cognition	1																				
VBN-considered	1	1	cognition	1																				
VBG-ensuring	1	1	cognition	1																				
VBP-seek	1	1	cognition	1																				
NN-resource	1	1	cognition	1																				
VBD-preferred	1	1	cognition	1																				
NNS-cravings	1	1	cognition	1																				
VBN-ranked	1	1	cognition	1																				
VBG-judging	1	1	cognition	1																				
NN-punk	1	1	cognition	1																				
VB-strain	1	1	cognition	1																				
VBD-avoided	1	1	cognition	1																				
VBD-sounded	1	1	cognition	1																				
NN-structure	1	1	cognition	1																				
NN-joke	1	1	cognition	1																				
VBN-decided	1	1	cognition	1																				
VBG-believing	1	1	cognition	1																				
NNS-rewards	1	1	cognition	1																				
NN-direction	1	1	cognition	1																				
NN-glitch	1	1	cognition	1																				
VBZ-teaches	1	1	cognition	1																				
NN-sardine	1	1	cognition	1																				
JJ-half	1	1	cognition	1																				
NNS-credentials	1	1	cognition	1																				
NNS-manners	1	1	cognition	1																				
VBG-guessing	1	1	cognition	1																				
VB-muster	1	1	cognition	1																				
NNS-falsehoods	1	1	cognition	1																				
NN-poor	1	1	cognition	1																				
VBZ-fits	1	1	cognition	1																				
VBP-deal	1	1	cognition	1																				
NN-observation	1	1	cognition	1																				
NNS-mircles	1	1	cognition	1																				
VBG-causing	1	1	change	1																				
VBD-split	1	1	change	1																				
VBN-thrashed	1	1	change	1																				
VB-advance	1	1	change	1																				
VB-budge	1	1	change	1																				
VBP-blow	1	1	change	1																				
VBZ-changes	1	1	change	1																				
VBN-flooded	1	1	change	1																				
VB-warm	1	1	change	1																				
VBD-sped	1	1	change	1																				
VBD-ripped	1	1	change	1																				
VBG-gaining	1	1	change	1																				
VBD-loss	1	1	change	1																				
RB-n't	1	1	change	1																				
VBG-cleaning	1	1	change	1																				
VBN-dropped	1	1	change	1																				
VBP-cut	1	1	change	1																				
VBN-updated	1	1	change	1																				
VBD-activated	1	1	change	1																				
VBN-lost	1	1	change	1																				
VB-clean	1	1	change	1																				
VBG-sabotaging	1	1	change	1																				
VBN-reversed	1	1	change	1																				
VBN-induced	1	1	change	1																				
VB-close	1	1	change	1																				
VB-attach	1	1	change	1																				
NN-jump	1	1	change	1																				
VBD-deleted	1	1	change	1																				
VBN-extended	1	1	change	1																				
VBN-remodeled	1	1	change	1																				
VBP-fix	1	1	change	1																				
VBN-warmed	1	1	change	1																				
VB-burn	1	1	change	1																				
VB-heat	1	1	change	1																				
VB-repair	1	1	change	1																				
VB-mask	1	1	change	1																				
VB-amend	1	1	change	1																				
VBP-remove	1	1	change	1																				
VBN-elevated	1	1	change	1																				
VBP-step	1	1	change	1																				
VBN-amplifiaed	1	1	change	1																				
VBD-improved	1	1	change	1																				
VBN-dismissed	1	1	change	1																				
VBD-transformed	1	1	change	1																				
VBG-turning	1	1	change	1																				
VB-ruin	1	1	change	1																				
VBG-stepping	1	1	change	1																				
VBP-scrub	1	1	change	1																				
VBG-changing	1	1	change	1																				
VBP-refold	1	1	change	1																				
VBN-expanded	1	1	change	1																				
VBN-copied	1	1	change	1																				
VBZ-bites	1	1	change	1																				
VBG-expanding	1	1	change	1																				
VBN-folded	1	1	change	1																				
VBN-retracted	1	1	change	1																				
VB-delete	1	1	change	1																				
VB-remove	1	1	change	1																				
VBD-changed	1	1	change	1																				
VBN-distorted	1	1	change	1																				
VBP-spice	1	1	change	1																				
NN-jimmy	1	1	change	1																				
VBD-removed	1	1	change	1																				
VBN-rectified	1	1	change	1																				
VB-lock	1	1	change	1																				
VBG-quitting	1	1	change	1																				
VBN-slipped	1	1	change	1																				
VBN-woken	1	1	change	1																				
VBD-graduated	1	1	change	1																				
VB-unlock	1	1	change	1																				
VBN-renovated	1	1	change	1																				
VBD-executed	1	1	change	1																				
VBD-adapted	1	1	change	1																				
